Time,Humidifier power [kW],HV light Power [kW]
2018-01-31,2.4516752576063838e-06,8.015917978581808
2018-02-28,1.7727611133847093e-06,8.614968035970438
2018-03-31,2.0060309066010474e-06,7.70035004146271
2018-04-30,1.8358234183245666e-06,7.807486854602092
2018-05-31,2.4290792068555904e-06,7.4991832392233375
2018-06-30,4.850688138880925e-06,9.768196677479724
2018-07-31,4.742743404983758e-06,6.402831631767263
2018-08-31,3.869467780050336e-06,7.212099442666104
2018-09-30,1.379786824197737e-06,8.35701167129276
2018-10-31,1.6388577023450535e-06,9.334150109410148
2018-11-30,1.3245258570800212e-06,8.869502731766087
2018-12-31,1.5594440156762158e-06,7.837681291747402
